donor,receiver,donor_wastes,receiver_resources,maestri_num_exchanges,our_num_exchanges,final_num_exchanges,maestri_exchanges_details,our_exchanges_details,final_exchanges_details
ILVA,ND - Production of concrete,"Demineralised water
Exhaust gas
Mill scales
BF slag
Waste heat
Waste coolant
Refractories
BFS/BOSF
BOSF
BFS
BOFS as aggregate",Raw material for Production of concrete,1,0,0,BOFS as aggregate -> Raw material for Production of concrete,,
ILVA,ND - Production of refractories,"Demineralised water
Exhaust gas
Mill scales
BF slag
Waste heat
Waste coolant
Refractories
BFS/BOSF
BOSF
BFS
BOFS as aggregate",Raw material for Production of refractories,1,0,0,BFS -> Raw material for Production of refractories,,
ILVA,ND - Road construction,"Demineralised water
Exhaust gas
Mill scales
BF slag
Waste heat
Waste coolant
Refractories
BFS/BOSF
BOSF
BFS
BOFS as aggregate","Raw material for Road construction
Raw materials
Road foundations
Paving",3,0,0,"Refractories -> Raw materials
BFS/BOSF -> Road foundations
BOSF -> Paving",,
ILVA,ND - Rock wool production,"Demineralised water
Exhaust gas
Mill scales
BF slag
Waste heat
Waste coolant
Refractories
BFS/BOSF
BOSF
BFS
BOFS as aggregate",Raw material for Rock wool production,1,0,0,BFS -> Raw material for Rock wool production,,
ILVA,ND - Steelworks,"Demineralised water
Exhaust gas
Mill scales
BF slag
Waste heat
Waste coolant
Refractories
BFS/BOSF
BOSF
BFS
BOFS as aggregate",Raw material for Steelworks,1,0,0,Mill scales -> Raw material for Steelworks,,
ILVA,Taranto,"Demineralised water
Exhaust gas
Mill scales
BF slag
Waste heat
Waste coolant
Refractories
BFS/BOSF
BOSF
BFS
BOFS as aggregate","Heat
Cooling",2,0,0,"Waste heat -> Heat
Waste coolant -> Cooling",,
ND - Construction materials production,ND - Road construction,Construction and demolition waste,"Raw material for Road construction
Raw materials
Road foundations
Paving",1,4,1,Construction and demolition waste -> Raw material for Road construction,"construction and demolition waste -> materials
construction and demolition waste -> raw materials
construction and demolition waste -> secondary raw materials
construction waste -> materials",Construction and demolition waste -> Raw materials
ND - Electricity production - Organic Rankine Cycle,CEMENTIR,Electricity,"Raw material for Cement production
Process energy",1,0,0,Electricity -> Process energy,,
ND - Electricity production - Organic Rankine Cycle,ENI refinery,Electricity,"Process heat
Process energy
Water",1,0,0,Electricity -> Process energy,,
ND - Electricity production - Organic Rankine Cycle,Edison power station,Electricity,"Process heat
Process energy",1,0,0,Electricity -> Process energy,,
ND - Electricity production - Organic Rankine Cycle,EniPower power station,Electricity,Process energy,1,0,0,Electricity -> Process energy,,
ND - Electricity production - Organic Rankine Cycle,ILVA,Electricity,"Process energy
Process heat",1,0,0,Electricity -> Process energy,,
ND - Olive oil production,ND - Agroindustry,Oil mill waste water,"Fertilizer
Fertiliser
Soil quality improvement and fertiliser",1,0,0,Oil mill waste water -> Fertilizer,,
ND - Power plant,ND - Agroindustry,Fly ash,"Fertilizer
Fertiliser
Soil quality improvement and fertiliser",1,2,2,Fly ash -> Soil quality improvement and fertiliser,"fly ash -> fertilizer
fly ash -> bio-fertilizer","Fly ash -> Fertiliser
Fly ash -> Fertilizer"
ND - Power plant,ND - Glass and glass-ceramic production,Fly ash,Raw material for Glass and glass-ceramic production,1,0,0,Fly ash -> Raw material for Glass and glass-ceramic production,,
ND - Power plant,ND - Production of bricks,Fly ash,Raw material for Production of bricks,1,0,0,Fly ash -> Raw material for Production of bricks,,
ND - Power plant,ND - Road construction,Fly ash,"Raw material for Road construction
Raw materials
Road foundations
Paving",1,0,0,Fly ash -> Raw material for Road construction,,
ND - Wine production,ND - Distilleries,Marc and dregs,Raw material for Distilleries,1,0,0,Marc and dregs -> Raw material for Distilleries,,
